Sinustabelle:

Sample Points / Schritte: 32 / 2*pi/32 = 1/16*pi = 0,1963495408 

x         |        sin(x)
          |
0         |    0
0.19635   |    0.19509
0.392699  |    0.382683
0.589049  |    0.55557
0.785398  |    0.707107
0.98174   |    0.83147
1.1781    |    0.92388
1.37445   |    0.980785
1.5708    |    1
1.76715   |    0.980785
1.9635    |    0.92388
2.15984   |    0.83147
2.35619   |    0.707107
2.55254   |    0.55557
2.74889   |    0.382683
2.94524   |    0.19509
3.14159   |    -7.65714e-16
3.33794   |    -0.19509
3.53429   |    -0.382683
3.73064   |    -0.55557
3.92699   |    -0.707107
4.12334   |    -0.83147
4.31969   |    -0.92388
4.51604   |    -0.980785
4.71239   |    -1
4.90874   |    -0.980785
5.10509   |    -0.92388
5.30144   |    -0.83147
5.49779   |    -0.707107
5.69414   |    -0.55557
5.89049   |    -0.382683
6.08684   |    -0.19509
